Добрый день!	¡Buenos días!
- Как дела?<br>- Хорошо.	- ¿Qué tal?<br>- Bien.
- Вы куда?<br>- Я - домой.	- ¿Adónde va?<br>- Yo (voy) a casa.
- А вы - домой?<br>- Нет, в театр.	- Y Uds. ¿(van) a casa?<br>- No, al teatro.
- А в какой?<br>- Мы - в большой.	- ¿Y a cuál?<br>- Nosotros (vamos) al Bolshoi.
До свидания!	¡Hasta la vista!
Первый урок	Primera lección
Упражнения:<br>- Читайте и переводите.<br>- Восстановите текст.	Ejercicios:<br>- Lea y traduzca.<br>- Reconstruya el texto.
Второй урок	Segunda lección
- Алло! Алло! Это борис?<br>- Да, Это Я.	- ¡Oiga! ¡Oiga! ¿Es Boris?<br>- Sí, soy yo.
- А кто гаварит?<br>- Я, я говорю - Вадим.	- ¿Y quién habla?<br>- Soy yo ("yo, yo hablo"), Vadim.
- Здравствуй, друг!<br>- Здравствуй, брат!	- ¡Hola, amigo!<br>- ¡Hola, hermano!
- Как я рад!<br>- Я тоже рад!	- ¡Qué contento (estoy)!<br>- ¡Yo también estoy contento!
- Где ты?<br>- Дома.<br>- Приходи!	- ¿Dónde estás?<br>- En casa.<br>- ¡Ven!
Хорошо. До встречи!	De acuerdo. ¡Hasta pronto! ("hasta el encuentro")
Третий урок	Tercera lección
Простите, что вы говорите?	Perdone, ¿qué dice Ud.?
- Вы русский/русская?<br>- Нет, я испанец/испанка.	- ¿Es Ud. ruso/rusa?<br>- No, soy español/española.
- Вы хорошо говорите по-русски.<br>- Спасиво! Вы очень любезны.	- Habla Ud. bien el ruso.<br>- ¡Gracias! Es muy amable.
- А она говорит по-русски?<br>- Конечно! Она русская.	- ¿Y ella habla ruso?<br>- ¡Po supuesto! Es rusa.
- Давайте говорить по-русски!<br>- С удовольствем. Я очень лювлю русский язык.	- ¡Hablemos ruso!<br>- Con gusto. Me gusta mucho la lengua rusa.
Четвёртый урок	Cuarta lección
- Что ты делаешь?<br>- Учу английский язык.	- ¿Qué haces?<br>- Estudio inglés.
- Ты уже говоришь по-английски?<br>- Немного говорю, но всё понимаю.	- ¿Ya hablas inglés?<br>- Hablo un poco, pero lo entiendo todo.
- Ты знаешь французский язык?<br>- Конечно, знаю.	- ¿Sabes francés?<br>- Por supuesto, lo sé.
- А как по-французски "пока"?<br>- "Пока" по-французски "чао".	- ¿Y cómo (se dice) en francés "hasta luego"?<br>- "Hasta luego" en francés es "chao".
- Но это по-итальянски!<br>- Правда? Значит, я знаю и итальянский язык!	- ¡Pero eso está en italiano!<br>- ¿De verdad? (Eso) significa que también sé italiano.
- Всё ясно! До встречи!<br>- Пока!	- ¡Todo está claro! ¡Hasta pronto!<br>- ¡Hasta luego!
Пятый урок	Quinta lección
- Давайте познокомимся!<br>- С удовольствием!	- ¡Conozcámonos!<br>- Con (mucho) gusto.
- Мня зовут Давид. А как вас зовут?<br>- Мня зовут Наташа. Очень прятно.	- Me llamo Davik. ¿Cómo se llama Ud.?<br>- Me llamo Natasha, Mucho gusto.
- Какое красивое имя!<br>- Вы очень любезны.	- ¡Qué nombre tan bonito!<br>- Es Ud. muy amable.
Кстати, это мой русский друг. Его зовут Вадим.	A propósito, este es mi amigo ruso. Se llama Vadim.
- А я его знаю!<br>- Конечно! Он очень известный актёр.	- ¡Pero yo lo conozco!<br>- ¡Por supuesto! Es un actor muy famoso.
- А вот моя подруга. Вы её знаете?<br>- Нет, я её не знаю. к сожалению.	- Y esta es mi amiga. ¿La conoce?<br>- No, no la conozco, por desgracia.
Какая красивая девушка!	¡Qué chica tan bonia!
Шестой урок	Sexta lección
- Скажите, кто это?<br>- Это мой брат.	- Díga(me), ¿quién es este?<br>- Este es mi hermano.
- Правда!? А кто он?<br>- Он актёр.	- ¿De verdad? ¿Y qué hace? ("quién es").<br>- Es actor.
- Вы тоже работаете в театр?<br>- Да, я тоже работаю в театре, но я режиссёр.	- ¿Ud. también trabaja en el teatro?<br>- Sí, yo también trabajo en el teatro, pero yo soy director.
Как интересно! Я очень люблю театр.	¡Qué interesante! Me gusta mucho el teatro.
- А вы где работаете?<br>- Я журналистка и работаю в газете.	- ¿Y Ud. dónde trabaja?<br>- Yo soy periodista y trabajo en el periódico.
- А где вы живёте?<br>- Я живу в Москве.<br>- А я живу в Киеве.	- ¿Y dónde vive Ud.?<br>- Yo vivo en Moscú.<br>- Y yo vivo en Kiev.
- А где живёт ваш брат?<br>- Он живёт в Одессе.	- ¿Y dónde vive su hermano?<br>- Vive en Odesa.
О! Это очень красивый город!	¡Oh! Es una ciudad muy bonita.
- Я вас приглашаю в театр.<br>- А в какой?<br>- В Большой.	- La invito al teatro.<br>- Y ¿a cuál?<br>- Al Bolshoi.
