ноль	cero
один'	uno
два	dos
три	tres
четыре	cuatro
пять	cinco
шесть	seis
семь	siete
восемь	ocho
'девять	nueve
'десять	diez
сто	cien
одиннадцать	once
двенадцать	doce
тринадцать	trece
четырнадцать	catorce
пятнадцать	quince
шестнадцать	dieciséis
семнадцать	diecisiete
восемнадцать	dieciocho
девятнадцать	diecinueve
'тысяча	mil
миллион'<br />миллиард'	millón<br>mil millones
двадцать, двести	veinte, doscientos
'тридцать,' триста	treinta, trescientos
'сорок, четыреста	cuarenta, cuatrocientos
пятьдесят', пятьсот'	cincuenta, quinientos
шестьдесят', шестьсот'	sesenta, seiscientos
'семьдесят, семьсот'	setenta, setecientos
'восемьдесят, восемьсот'	ochenta, ochocientos
девяносто, девятьсот'	noventa, novecientos
'город	ciudad
дом	house
квартира	apartment
'улица	calle
дорога	camino
аэропорт	aeropuerto
вокзал'	estación de tren
мост	puente
гости́ница	hotel
ресторан'	restaurante
животное	animal
собака	perro
кот/кошка	gato
'рыба	pez, pescado
'птица	pájaro
корова	vaca
свинья'	cerdo
мышь	ratón
'лошадь	caballo
крыло'	ala
'поезд	tren
самолёт	avión
машина	coche, máquina
грузовик'	camión
велосипед'	bicicleta
автобус	autobús
'лодка	barca
корабль'	barco
'шина	neumático
бензин'	gasolina
'двигатель<br>	motor
билет'	boleto
транспорт'	transporte
'ферма	granja
двор	patio
школа	escuela
'офис	oficina
'комната	habitación
университет'	universidad
клуб	club
бар	bar
парк	parque
'лагерь	campamento
магазин'	tienda
театр'	teatro
библиотека	biblioteca
больница	hospital
'церковь	iglesia
'рынок	mercado
страна'	país
'здание / строение	edificio
земля'	tierra / suelo
'космос	espacio, cosmos
банк	banco
'место	lugar
'шляпа	sombrero
'платье	vestido
костюм'	traje
'юбка	falda
рубашка	camisa
футболка	camiseta
'брюки	pantalones
'обувь	calzado
карман'	bolsillo
пальто'	abrigo
пятно'	mancha
одежда	ropa
'красный	rojo
зелёный	verde
'синий	azul (marino)
голубой	azul (celeste)
жёлтый	amarillo
коричневый	marrón
'розовый	rosado
оранжевый	anaranjado
чёрный	negro
белый	blanco
'серый	gris
цвет	color
работа	trabajo
занятие	empleo / ocupación
'люди	gente
сын	hijo
дочь	hija
мать	madre
отец'	padre
родители	padres
ребёнок ('дети)	niño (niños)
мужчина	hombre
'женщина	mujer
брат	hermano
сестра'	hermana
семья'	familia
'дедушка	abuelo
'бабушка	abuela
муж	marido
жена'	esposa
король' / королева	rey / reina
президент'	presidente
сосед' / соседка	vecino / vecina
'мальчик	niño / muchacho
'девочка	niña
'взрослый	adulto
друг / подруга	amigo / amiga
'жертва	víctima
игрок'	jugador
болельщик	fan
толпа'	muchedumbre
человек'	persona
учитель / учительница	maestro / maestra
студент' / судентка	estudiante
адвокат' / юрист'	abogado
врач	médico
пациент'	paciente
официант' / официантка	camarero / camarera
секретарь'	secretario
священник	cura
поли́ция, полицейский	policía, agente de policía
'армия	ejército
солдат'	soldado
художник / художница	artista
'автор	autor
'менеджер	director / manager
журналист' / журналистка	periodista
актёр / актриса	actor / actriz
'общество	sociedad
религия	religión
небеса' / рай	cielo / paraíso
ад	infierno
смерть	muerte
медицина	medicina
лекарство	fármaco
'деньги	dinero
'доллар	dólar
счёт	cuenta
брак	matrimonio
'свадьба	boda
команда	equipo
отношения	relación
'раса	raza
секс (акт)	sexo (acto)
пол	"sexo (género) [también ""suelo""]"
убийство	asesinato
тюрьма'	cárcel
технология	tecnología
энергия	energía
война'	guerra
мир	paz (también mundo)
нападение	ataque
'выборы	elecciones
журнал'	revista
газета	periódico
яд	veneno
пистолет'	pistola
ружьё	escopeta
оружие	arma
спорт	deporte
'гонки	carrera
зарядка	ejercicio (físico)
мяч	pelota
игра'	juego
приз / 'премия	premio
контракт'	contrato
наркотик	droga
знак	señal
'наука	ciencia
Бог	dios
'группа	grupo (también musical)
'песня	canción
инструмент'	instrumento, herramienta
'музыка	música
фильм	película
искусство	arte
напиток	bebida
'кофе	café
чай	té
вино'	vino
'пиво	cerveza
сок	zumo
вода'	agua
молоко'	leche
яйцо'	huevo
сыр	queso
хлеб	pan
суп	sopa
торт	pastel
'курица	pollo
свинина	carne de cerdo
говя́дина	carne de ternera
'яблоко	manzana
банан'	plátano
апельсин'	naranja
лимон'	limón
кукуруза	maíz
рис	arroz
'масло	aceite, mantequilla
'мясо	carne
'семя	semilla
нож	cuchillo
'ложка	cuchara
'вилка	tenedor (también enchufe)
тарелка	plato
'чашка	taza
'завтрак	desayuno
обед'	almuerzo
